ID;Team;Dataset #;Toolbox used;Quality/Pruning: Method;Motion Artifact Method;Resample/Downsample (Hz);Filtering;Removal of the Global Signals during Preprocessing;Non-GLM: Method;GLM: Method;GLM: HRF Regressor;GLM: Other Regressors;Stat Analysis: Software;Stat Analysis: Method;Stat Analysis: On Signal Type;Stat Analysis: Signal Space;Stat Analysis: Metric;Test for Normality;Stat Analysis: Threshold (p< X);Multiple Comparisons Correction
1;Neurorehabilitation Lab, AIST;1;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
1;Neurorehabilitation Lab, AIST;2;OpenPoTATo;Unknown;Unknown;Unknown;BandPass;Other;Block Averaging;Unknown;Unknown;Unknown;Open PoTATo;Paired t-Test;HbO only;Channel;signal amplitude (windowed);Unknown;0.05/11;Bonferroni
2;The John Paul II Catholic University of Lublin, Department of Experimental Psychology;1;Other;SCI (Scalp-Coupling Index);TDDR;Unknown;LowPass;Other;GLM;Default;SPM;Polynomial Drift,Short Channels;JASP;One-Sample t-Test;HbO and HbR;ROI;beta values provided by GLM;Shapiro-Wilk;0.05;Bonferroni
2;The John Paul II Catholic University of Lublin, Department of Experimental Psychology;1;Other;SCI (Scalp-Coupling Index);TDDR;Unknown;LowPass;Other;GLM;Default;SPM;Polynomial Drift,Short Channels;JASP;Repeated Measures ANOVA;HbO and HbR;ROI;beta values provided by GLM;Shapiro-Wilk;0.05;Bonferroni
2;The John Paul II Catholic University of Lublin, Department of Experimental Psychology;1;Other;Visual Inspection of Time Domain;TDDR;Unknown;LowPass;Other;GLM;Default;SPM;Polynomial Drift,Short Channels;JASP;One-Sample t-Test;HbO and HbR;ROI;beta values provided by GLM;Shapiro-Wilk;0.05;Bonferroni
2;The John Paul II Catholic University of Lublin, Department of Experimental Psychology;1;Other;Visual Inspection of Time Domain;TDDR;Unknown;LowPass;Other;GLM;Default;SPM;Polynomial Drift,Short Channels;JASP;Repeated Measures ANOVA;HbO and HbR;ROI;beta values provided by GLM;Shapiro-Wilk;0.05;Bonferroni
2;The John Paul II Catholic University of Lublin, Department of Experimental Psychology;2;Other;Visual Inspection of Time Domain;TDDR;Unknown;LowPass;Other;GLM;Default;SPM;Short Channels,Polynomial Drift;JASP;Paired t-Test;HbO and HbR;ROI;beta values provided by GLM;Shapiro-Wilk;0.05;Unknown
2;The John Paul II Catholic University of Lublin, Department of Experimental Psychology;2;Other;Visual Inspection of Time Domain;TDDR;Unknown;LowPass;Other;GLM;Default;SPM;Short Channels,Polynomial Drift;JASP;One-Sample t-Test;HbO and HbR;ROI;beta values provided by GLM;Shapiro-Wilk;0.05;Unknown
2;The John Paul II Catholic University of Lublin, Department of Experimental Psychology;2;Other;SCI (Scalp-Coupling Index);TDDR;Unknown;LowPass;Other;GLM;Default;SPM;Short Channels,Polynomial Drift;JASP;Paired t-Test;HbO and HbR;ROI;beta values provided by GLM;Shapiro-Wilk;0.05;Unknown
2;The John Paul II Catholic University of Lublin, Department of Experimental Psychology;2;Other;SCI (Scalp-Coupling Index);TDDR;Unknown;LowPass;Other;GLM;Default;SPM;Short Channels,Polynomial Drift;JASP;One-Sample t-Test;HbO and HbR;ROI;beta values provided by GLM;Shapiro-Wilk;0.05;Unknown
3;Adi-Negev Team;1;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
3;Adi-Negev Team;2;HOMER3;PSP (Cardiac Power Spectrum Peak);Hybrid spline wavelet;Unknown;BandPass;No;Other;Unknown;Unknown;Unknown;Unknown;Fixed Mixed Effects Model;Unknown;Channel,ROI;Other;Kolmogorov–Smirnov;0.01;Bonferroni
3;Adi-Negev Team;2;HOMER3;SNR Threshold;Hybrid spline wavelet;Unknown;BandPass;No;Other;Unknown;Unknown;Unknown;Unknown;Fixed Mixed Effects Model;Unknown;Channel,ROI;Other;Kolmogorov–Smirnov;0.01;Bonferroni
3;Adi-Negev Team;2;HOMER3;Manual Selection;Hybrid spline wavelet;Unknown;BandPass;No;Other;Unknown;Unknown;Unknown;Unknown;Fixed Mixed Effects Model;Unknown;Channel,ROI;Other;Kolmogorov–Smirnov;0.01;Bonferroni
