	ID	Team	Dataset #	Toolbox used	Quality/Pruning: Method	Quality/Pruning: Default Parameters?	Quality/Pruning: Parameters Used	Data quality/pruning: Default	Quality/Pruning: Method: Notes	Quality/Pruning: Total #CH pruned	Quality/Pruning: Total #Sbj pruned	Motion Artifact Method	Motion Artifact Correction: Default Parameters?	Motion Artifact Correction: Parameters Used	Motion Artifact: Notes	Motion Artifact Rejection	"Motion Artifact Rejection: Total Rejected (#Trials; #Subjects) copy"	Resample/Downsample (Hz)	Filtering	"Filtering Cutoff (Hz_cutoff; type; order)"	"Filtering (type; order)"	Did you use Default Parameters for your Filters?	Filtered Signal	Removal of the Global Signals during Preprocessing	MBLL DPF/PPF	Non-GLM: Method	Non-GLM: Notes	GLM: Method	GLM AR Order	GLM: Method: Notes	GLM: HRF Regressor	GLM: HRF Regressor: Notes	GLM: Other Regressors	GLM: Other Regressors: Notes	Stat Analysis: Software	Stat Analysis: Method	Stat Analysis: On Signal Type	Stat Analysis: Signal Space	Channel Selection Method	Channel Selection	ROI Method	Stat Analysis: Metric	Test for Normality	Outlier Removal	"Stat Analysis: Sample Size after rejections (#Channels; #Subjects)"	Stat Analysis: Threshold (p< X)	Multiple Comparisons Correction	Other Comments	Block Averaging: Window time range	Block Averaging: Modifiers	How confident are you with your fNIRS signal analysis skills	Contributors	Analysis Confidence	Results confidence	Other	Other copy	Other copy copy	Other copy copy copy	Block Averaging: Detrending: Other	Other Regressor	Other Stats Software	Other Stats Method	Other Stats Metric	Did you use Default Parameters for AR model order?
Study 1	1	"""Neurorehabilitation Lab, AIST"""	NA																																																													
Study 2	1	"""Neurorehabilitation Lab, AIST"""	2	OpenPoTATo	N/A							N/A							LowPass,HighPass	"f_hp = 0.01; f_lp = 1.00 Hz"		checked	Hemoglobin	Other	N/A	Block Averaging		N/A							Open PoTATo	Paired t-Test	HbO only	Channel			Yes	signal amplitude (windowed)	N/A			0.05/11	Bonferroni		[-5 15]	Baseline correction		Hiroshi Kawaguchi, all	5	5				Hemodynamic modality separation 						
Study 1	2	"""The John Paul II Catholic University of Lublin, Department of Experimental Psychology"""	1	Other	SCI (Scalp-Coupling Index),Visual Inspection of Time Domain		SCI_thresh = 0.8 	checked	"Subjects = 3; Channels = 103"	103	3	TDDR	checked						LowPass	f_lp = 0.4 Hz	Default	checked	OD	Other	DPF = [6 6]	GLM		Default			SPM	Stimulation duration = 5 s	Polynomial Drift,Short Channels		JASP	One-Sample t-Test,Repeated Measures ANOVA	HbO and HbR	ROI			fOLD based on the literature	beta values provided by GLM	Shapiro-Wilk			0.05	Bonferroni					"Dariusz Zapa?a (signal quality assessment, data preprocessing, statistical analysis, interpretation of the results) 
Pawe? Augustynowicz (data processing, design of processing pipeline)"	4	3	CortiPrism			Correlation based signal improvements						checked
Study 2	2	"""The John Paul II Catholic University of Lublin, Department of Experimental Psychology"""	2	Other	Visual Inspection of Time Domain,SCI (Scalp-Coupling Index)		SCI_thresh = 0.8 	checked	"Subjects = 0; Channels = 115"	115	0	TDDR	checked						LowPass	f_lp = 0.4 Hz	Default	checked	OD	Other	DPF = [6 6]	GLM		Default			SPM		Short Channels,Polynomial Drift		JASP	Paired t-Test,One-Sample t-Test	HbO and HbR	ROI			fOLD based on the literature	beta values provided by GLM	Shapiro-Wilk			0.05	N/A		N/A	Other		"Dariusz Zapa?a (signal quality assessment, data preprocessing, statistical analysis, interpretation of the results) 

Pawe? Augustynowicz (data preparation and processing, design of processing pipeline)"	4	3	CortiPrism			Correlation based signal improvements	Correlation based signal improveme					checked
Study 1	3	Adi-Negev Team	NA																																																													
Study 2	3	Adi-Negev Team	2	HOMER3	PSP (Cardiac Power Spectrum Peak),SNR Threshold,Manual Selection		"SNR_thresh =  8; PSP_thresh = NA"		a peak between 1-1.5 Hz was required		57	Hybrid spline wavelet		"STDEVthresh = 10; tMotion = 0.5; tMask=1;  p_spline = 0.99; IQR_wavelet = 0.1"	used hmrMotionArtifactByChannel, hmrMotionCorrectSpline and hmrMotionCorrectWavelet 				LowPass,HighPass	"f_hp = 0.01; f_lp = 0.2"		checked	OD	No	DPF = [6 6]	Other	To infer activity in a channel we compared the slope of the linear regression during the rest period with that of the activity period. Activity was inferred when the slope of the Hbo signal was greater in the active period compared with the rest period. As time windows we used t-5s and t+5s for the rest and active periods, respectivly.									Fixed Mixed Effects Model		Channel,ROI			We used the provided coordinates in https://www.neurosynth.org/analyses/terms/hand%20movements/	Other	Kolmogorov–Smirnov			0.01	Bonferroni					"Yogev Koren: data processing and analysis. statistical analysis and Interpretation.
Yisrael Parmet: statistical analysis and Interpretation.
Noy Goldhamer: data processing and analysis. Interpretation of the results."	4	4							SPSS		The slope of the linear regressor of the Hbo and Hbb signals	
Study 1	4	BabyRhythm_UNIPD	1	Custom: Matlab	Other		"Saturation = 1.2; motion artifacts: see below."		"Subjects ds 1=0; Channels ds 1= 27, Subjects ds 2=0; Channels ds 2= 9"	27	0	Rejection		custom	Amplitude change of Hb > 0.1 mM x mm over 0.2 s Performed on trial-by-channel pairs				LowPass,HighPass	"f_lp = 0.01; f_hp = 0.7 Hz"	filter_type = FFT		Hemoglobin	Other	N/A	Block Averaging										Mixed Effects Model,ANOVA,Two-tailed t-test	HbO and HbR	ROI			We followed the ROI definitions provided in the original publications (Luke et al. 2021 and Novi et al. 2020)	signal amplitude (windowed)	N/A	No		0.05	N/A	As already submitted in the first phase of the project, when possible we employed an omnibus model that would answer most of the questions, so we did not need in this case to correct for multiple comparisons (e.g., for the Dataset 1, ROI was one of the Fixed effects). We used t-tests only for those few hypotheses that could not be addressed within that single model.	[-5 15]	Detrending		Jessica Gemignani and Judit Gervain - planned and executed data analysis and reviewed results.	5	5		Our data quality check is coupled with the motion artifact detection routine, and a test of saturation and high frequency noise. 		Linear fit between mean values of the 5 s preceding the onset of the block and the 5 s starting 15 s after onset of the block in order to detrend the signal and remove long-range fluctuation.						
Study 2	4	BabyRhythm_UNIPD	2	Custom: Matlab	Other		"Saturation = 1.2; motion artifacts: see below."		"Subjects ds 1=0; Channels ds 1= 27, Subjects ds 2=0; Channels ds 2= 9"	9	0	Rejection		custom	Amplitude change of Hb > 0.1 mM x mm over 0.2 s Performed on trial-by-channel pairs				LowPass,HighPass	"f_lp = 0.01; f_hp = 0.7 Hz"	filter_type = FFT		Hemoglobin	Other	N/A	Block Averaging										Mixed Effects Model,ANOVA,Two-tailed t-test	HbO and HbR	ROI			We followed the ROI definitions provided in the original publications (Luke et al. 2021 and Novi et al. 2020)	signal amplitude (windowed)	N/A	No		0.05	N/A	As already submitted in the first phase of the project, when possible we employed an omnibus model that would answer most of the questions, so we did not need in this case to correct for multiple comparisons (e.g., for the Dataset 1, ROI was one of the Fixed effects). We used t-tests only for those few hypotheses that could not be addressed within that single model.	[-5 15]	Detrending		Jessica Gemignani and Judit Gervain - planned and executed data analysis and reviewed results.	5	5		Our data quality check is coupled with the motion artifact detection routine, and a test of saturation and high frequency noise. 		Linear fit between mean values of the 5 s preceding the onset of the block and the 5 s starting 15 s after onset of the block in order to detrend the signal and remove long-range fluctuation.						
Study 1	5	Bayet lab Feb2023	1	HOMER3	SNR Threshold		"dRange = [0.01 1.1]; SNR_thresh = 2; SDrange = 0-45"				0	Targeted PCA		"tMotion=0.5; tMask=2; STDEVthresh=5; AMPthresh=5; nSV=0.97; maxIter=5; turnon=1"					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"		checked	OD	No	DPF = [6 6]	Block Averaging									RStudio	Linear Mixed Effects	HbO only	ROI			ROIs were selected based on Luke et. al. 2021 paper	signal amplitude 	N/A			0.05	N/A	Time window of average activations: [2.6 6.6] (+- 2 seconds around grand average peak). Our lab primarily works with infant data so we have less experience with adult data and preprocessing considerations.	[-3 14]			"Kira Ashton: Data processing and analysis
Laurie Bayet: Supervision and guidance"	3	4									Time window of average activations: [2.6 6.6] (+- 2 seconds around grand average peak)	
Study 2	5	Bayet lab Feb2023	2	HOMER3	SNR Threshold		"dRange = [0 10]; SNR_thresh = 2; SDrange = 0-45"				0	Targeted PCA		"tMotion = 0.5; tMask = 2; STDEVthresh = 5; AMPthresh = 5; nSV = 0.97; maxIter = 5; turnon = 1"					LowPass,HighPass	"f_hp = 0.01; f_lp = 0.5"		checked	OD	No	DPF= [6 6]	Block Averaging										One-tailed t-test	HbO and HbR	ROI			ROI was based on Novi et al. 2020 and the correspondence of optodes to MNI coordinates for motor cortex	signal amplitude 	N/A	Time window for average activations HBO: 2.48-7.056 HBR: 4.48-8.288 (+/- 2 seconds from grand average peak)		0.025	Bonferroni	"Time window for average activations HBO: 2.48-7.056 HBR: 4.48-8.288 (+/- 2 seconds from peak)
For context, we are infant lab and don't usually work with adult FNIRS data"	[-2 10]			"Victoria Fracalossi: Data Processing and analysis, lead Kira Ashton: Data processing and analysis Laurie Bayet: Supervision and guidance, processing and analysis 
"	2	3										
